City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Palmerston,AU,91.89,scattered clouds,-12.486,130.9833,No hotel found
2,Cape Town,ZA,69.39,clear sky,-33.9258,18.4232,DoubleTree by Hilton Hotel Cape Town - Upper Eastside
4,Hobart,AU,67.86,light rain,-42.8794,147.3294,Hotel Grand Chancellor Hobart
5,Albany,US,57.38,clear sky,42.6001,-73.9662,No hotel found
6,Atuona,PF,78.84,broken clouds,-9.8,-139.0333,Pearl Resort
7,Richmond,US,65.05,scattered clouds,37.5538,-77.4603,The Jefferson Hotel
8,Avarua,CK,86.05,light rain,-21.2078,-159.775,Natura Nikao Beach Bungalow
10,Taoudenni,ML,71.78,broken clouds,22.6783,-3.9836,No hotel found
11,Marzuq,YE,57.96,clear sky,14.4,46.4667,No hotel found
12,Jamestown,US,53.02,clear sky,42.097,-79.2353,Chautauqua Harbor Hotel
14,Puerto Ayora,EC,80.55,light rain,-0.7393,-90.3518,Muyuyo Galápagos
15,New Norfolk,AU,67.5,light rain,-42.7826,147.0587,Rosie's Inn
16,Ormara,PK,71.55,overcast clouds,25.2088,64.6357,No hotel found
19,Meulaboh,ID,78.3,moderate rain,4.1363,96.1285,Hotel Meuligou
20,Vaini,TO,84.36,moderate rain,-21.2,-175.2,Keleti International Resort
23,Hermanus,ZA,64.8,scattered clouds,-34.4187,19.2345,Abalone Guest Lodge
24,Bambous Virieux,MU,74.21,light intensity shower rain,-20.3428,57.7575,No hotel found
25,Punta Arenas,CL,41.11,few clouds,-53.15,-70.9167,Ainil
26,Biak,ID,82.33,overcast clouds,-0.9131,122.8766,No hotel found
27,Te Anau,NZ,70.72,overcast clouds,-45.4167,167.7167,Lakeside Motels & Apartments
28,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,No hotel found
29,Matamoros,MX,77.11,scattered clouds,25.5333,-103.25,No hotel found
30,Busselton,AU,69.3,broken clouds,-33.65,115.3333,No hotel found
31,Kapaa,US,74.48,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Super 8
34,Umm Bab,QA,62.58,overcast clouds,25.2142,50.8072,No hotel found
35,Kavieng,PG,82.63,moderate rain,-2.5744,150.7967,Kavieng Niu Lodge
36,Port Alfred,ZA,68.18,moderate rain,-33.5906,26.891,Ferryman
37,Hervey Bay,AU,82.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
38,Victoria,HK,62.26,few clouds,22.2855,114.1577,唯港薈 Hotel ICON
39,Shimoda,JP,43.9,overcast clouds,34.6667,138.95,ホテル伊豆急
41,Hithadhoo,MV,80.94,scattered clouds,-0.6,73.0833,Pebbles Inn
43,Mayumba,GA,76.46,overcast clouds,-3.432,10.6554,Mbidia Koukou
45,San Patricio,US,73.49,overcast clouds,28.017,-97.5169,No hotel found
48,Pochutla,MX,78.82,clear sky,15.7432,-96.4661,Posada San Jose
49,Praia,CV,68.54,few clouds,14.9215,-23.5087,Hotel Cesaria
50,Vanimo,PG,80.42,moderate rain,-2.6741,141.3028,Vanimo Surf Lodge
51,Pointe Michel,DM,77.23,few clouds,15.25,-61.3833,Hotel Anchorage
52,Rikitea,PF,79.2,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
56,Ler,SS,75.06,scattered clouds,8.3018,30.1418,Green Hotel
57,Cap Malheureux,MU,74.46,clear sky,-19.9842,57.6142,Hibiscus
61,Pali,IN,65.5,clear sky,25.7667,73.3333,Hotel Pawan International
