City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Palmerston,AU,-12.486,130.9833,91.89,67,40,10.36,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,38.86,81,100,17.27,light rain
2,Cape Town,ZA,-33.9258,18.4232,69.39,73,0,14.0,clear sky
3,Qaanaaq,GL,77.484,-69.3632,-20.16,64,25,8.32,scattered clouds
4,Hobart,AU,-42.8794,147.3294,67.86,85,100,11.5,light rain
5,Albany,US,42.6001,-73.9662,57.38,57,7,1.01,clear sky
6,Atuona,PF,-9.8,-139.0333,78.84,73,62,13.15,broken clouds
7,Richmond,US,37.5538,-77.4603,65.05,54,40,11.5,scattered clouds
8,Avarua,CK,-21.2078,-159.775,86.05,74,63,5.75,light rain
9,Henties Bay,NA,-22.116,14.2845,64.51,83,94,5.57,overcast clouds
10,Taoudenni,ML,22.6783,-3.9836,71.78,21,76,10.74,broken clouds
11,Marzuq,YE,14.4,46.4667,57.96,17,5,5.3,clear sky
12,Jamestown,US,42.097,-79.2353,53.02,62,0,16.11,clear sky
13,Teeli,RU,51.0333,90.2333,-11.63,90,100,0.72,overcast clouds
14,Puerto Ayora,EC,-0.7393,-90.3518,80.55,91,20,3.44,light rain
15,New Norfolk,AU,-42.7826,147.0587,67.5,46,100,5.48,light rain
16,Ormara,PK,25.2088,64.6357,71.55,61,100,6.8,overcast clouds
17,Makkaveyevo,RU,51.7533,113.9454,11.23,71,100,9.35,overcast clouds
18,Norman Wells,CA,65.282,-126.8329,-9.6,94,100,3.53,overcast clouds
19,Meulaboh,ID,4.1363,96.1285,78.3,82,97,3.96,moderate rain
20,Vaini,TO,-21.2,-175.2,84.36,84,75,11.5,moderate rain
21,Walvis Bay,NA,-22.9575,14.5053,62.1,91,56,7.18,broken clouds
22,Sitka,US,57.0531,-135.33,35.49,87,100,8.05,light rain
23,Hermanus,ZA,-34.4187,19.2345,64.8,86,30,16.02,scattered clouds
24,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,75,3.44,light intensity shower rain
25,Punta Arenas,CL,-53.15,-70.9167,41.11,56,20,16.11,few clouds
26,Biak,ID,-0.9131,122.8766,82.33,64,100,1.1,overcast clouds
27,Te Anau,NZ,-45.4167,167.7167,70.72,39,96,3.02,overcast clouds
28,Mataura,NZ,-46.1927,168.8643,58.48,55,100,3.78,overcast clouds
29,Matamoros,MX,25.5333,-103.25,77.11,4,40,0.0,scattered clouds
30,Busselton,AU,-33.65,115.3333,69.3,58,66,6.51,broken clouds
31,Kapaa,US,22.0752,-159.319,74.48,80,40,13.8,light rain
32,Georgetown,MY,5.4112,100.3354,82.33,61,20,4.61,few clouds
33,Great Falls,US,47.5002,-111.3008,28.17,64,0,13.8,clear sky
34,Umm Bab,QA,25.2142,50.8072,62.58,83,100,22.7,overcast clouds
35,Kavieng,PG,-2.5744,150.7967,82.63,73,100,8.79,moderate rain
36,Port Alfred,ZA,-33.5906,26.891,68.18,96,99,3.0,moderate rain
37,Hervey Bay,AU,-25.2986,152.8535,82.02,66,0,10.0,clear sky
38,Victoria,HK,22.2855,114.1577,62.26,63,22,11.99,few clouds
39,Shimoda,JP,34.6667,138.95,43.9,62,97,9.89,overcast clouds
40,Berlevag,NO,70.8578,29.0864,32.0,80,44,19.57,scattered clouds
41,Hithadhoo,MV,-0.6,73.0833,80.94,78,25,10.31,scattered clouds
42,Iskateley,RU,67.6803,53.1512,23.61,94,100,20.58,light snow
43,Mayumba,GA,-3.432,10.6554,76.46,88,100,2.01,overcast clouds
44,Severo-Kurilsk,RU,50.6789,156.125,26.83,84,99,32.44,light snow
45,San Patricio,US,28.017,-97.5169,73.49,91,100,13.31,overcast clouds
46,Jinchang,CN,38.4953,102.1739,27.03,55,16,4.79,few clouds
47,Sisimiut,GL,66.9395,-53.6735,11.39,67,100,14.52,overcast clouds
48,Pochutla,MX,15.7432,-96.4661,78.82,79,0,4.32,clear sky
49,Praia,CV,14.9215,-23.5087,68.54,77,20,20.71,few clouds
50,Vanimo,PG,-2.6741,141.3028,80.42,80,95,0.83,moderate rain
51,Pointe Michel,DM,15.25,-61.3833,77.23,73,24,14.05,few clouds
52,Rikitea,PF,-23.1203,-134.9692,79.2,71,100,6.24,overcast clouds
53,Chokurdakh,RU,70.6333,147.9167,-40.11,100,91,1.99,overcast clouds
54,Nyrob,RU,60.733,56.7202,-3.46,100,96,1.05,overcast clouds
55,Saskylakh,RU,71.9167,114.0833,0.99,97,100,7.27,light snow
56,Ler,SS,8.3018,30.1418,75.06,19,43,10.67,scattered clouds
57,Cap Malheureux,MU,-19.9842,57.6142,74.46,77,2,1.01,clear sky
58,Inta,RU,66.0317,60.1659,12.09,88,100,23.04,overcast clouds
59,Kozhva,RU,65.1073,57.0459,4.6,96,100,6.24,overcast clouds
60,Tilichiki,RU,60.4667,166.1,-8.48,80,100,12.82,overcast clouds
61,Pali,IN,25.7667,73.3333,65.5,25,0,2.98,clear sky
62,Abu Dhabi,AE,24.4667,54.3667,71.71,28,0,9.22,clear sky
63,Leshukonskoye,RU,64.8989,45.7622,3.07,97,71,5.41,broken clouds
64,Upernavik,GL,72.7868,-56.1549,-11.69,73,100,9.35,overcast clouds
65,Manokwari,ID,-0.8667,134.0833,80.55,81,100,3.47,overcast clouds
66,Kahului,US,20.8947,-156.47,77.85,69,40,16.11,scattered clouds
67,Londa,IN,15.4691,74.5191,64.06,26,6,5.26,clear sky
68,Wanaka,NZ,-44.7,169.15,68.79,37,73,4.07,broken clouds
69,Beringovskiy,RU,63.05,179.3167,-12.89,94,100,14.61,overcast clouds
70,Chissamba,AO,-12.1667,17.3333,62.67,94,100,4.25,overcast clouds
71,Hami,CN,42.8,93.45,31.6,39,75,4.81,broken clouds
72,Ribeira Grande,PT,38.5167,-28.7,60.78,71,87,14.0,overcast clouds
73,Talakan,RU,50.3167,130.3667,5.4,89,100,2.89,overcast clouds
74,Atar,MR,20.5169,-13.0499,72.82,21,3,8.99,clear sky
75,Shingu,JP,33.7333,135.9833,46.54,41,5,3.38,clear sky
76,Yarada,IN,17.65,83.2667,73.02,75,0,2.8,clear sky
77,Salalah,OM,17.0151,54.0924,71.69,78,0,3.44,clear sky
78,Faanui,PF,-16.4833,-151.75,82.09,73,21,9.86,few clouds
79,Lebu,CL,-37.6167,-73.65,57.54,81,0,21.5,clear sky
80,Havre,FR,49.5833,0.3333,49.77,81,0,9.22,clear sky
81,Gweta,BW,-20.1833,25.2333,72.07,86,100,9.33,moderate rain
82,Arraial Do Cabo,BR,-22.9661,-42.0278,75.99,93,100,15.52,overcast clouds
83,Port Elizabeth,ZA,-33.918,25.5701,68.67,84,94,5.79,overcast clouds
84,Allonnes,FR,47.9674,0.1581,39.24,93,68,0.0,broken clouds
85,Thompson,CA,55.7435,-97.8558,-21.68,98,100,4.16,overcast clouds
86,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,71,50,11.95,scattered clouds
87,Sharjah,AE,25.3573,55.4033,76.98,20,0,11.5,clear sky
88,Chaozhou,CN,23.6651,116.6379,56.68,64,50,3.15,scattered clouds
89,Springdale,US,36.1867,-94.1288,64.04,58,0,5.75,clear sky
90,Yei,SS,4.095,30.6779,68.65,34,73,1.41,broken clouds
91,Vagur,FO,61.4732,-6.8119,42.15,67,79,31.99,light rain
92,Asfi,MA,32.2994,-9.2372,51.87,73,100,7.11,overcast clouds
93,Tessalit,ML,20.1986,1.0114,64.08,19,100,15.97,overcast clouds
94,Guerrero Negro,MX,27.9769,-114.0611,56.82,55,100,14.65,overcast clouds
95,Honiara,SB,-9.4333,159.95,86.25,70,98,5.7,overcast clouds
96,Chandler,US,33.3062,-111.8412,50.59,32,0,6.91,clear sky
97,Coihaique,CL,-45.5752,-72.0662,46.35,53,0,3.44,clear sky
